Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
14.1869981616759,TrainWagon.464,TrainLoadStation,95.OnExitedProcessing,[Release] Filler,Releasing resource(s) owned by object 'TrainWagon.464'.
14.1869981616759,--,--,--,--,Object 'TrainWagon.464' released '1' capacity unit(s) of resource 'TrainLoadStation'.
14.1869981616759,TrainWagon.464,TrainLoadStation,95.OnExitedProcessing,[Execute] Exited_AddOnProcess,Executing process 'TrainLoadStation_Exited'.
14.1869981616759,TrainWagon.464,Model,60.TrainLoadStation_Exited,[Begin],Process 'TrainLoadStation_Exited' initiated.
14.1869981616759,TrainWagon.464,Model,60.TrainLoadStation_Exited,[Tally] LoadingTimeTally,Recorded '1' observation(s) of value '3.00000010612037' for tally statistic 'Tally_TrainLoadingTime'.
14.1869981616759,TrainWagon.464,Model,60.TrainLoadStation_Exited,[End],Process 'TrainLoadStation_Exited' ended.
14.1869981616759,TrainWagon.464,TrainLoadStation,95.OnExitedProcessing,[End],Process 'OnExitedProcessing' ended.
14.1869981616759,TrainWagon.464,TrainLoadStation,84.OnEnteredProcessing,[End],Process 'OnEnteredProcessing' ended.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[End],Process 'OnEnteredFromAssociatedObject' ended.
14.1869981616759,--,--,--,--,Object 'LAC.466' destroyed.
14.1869981616759,--,--,--,--,Object 'LAC.467' destroyed.
14.1869981616759,--,--,--,--,Object 'LAC.468' destroyed.
14.1869981616759,--,--,--,--,Object 'LAC.469' destroyed.
14.1869981616759,--,--,--,--,Object 'LAC.470' destroyed.
14.1869981616759,--,--,--,--,Object 'LAC.471' destroyed.
14.1869981616759,--,--,--,--,Object 'LAC.472' destroyed.
14.1869981616759, ,CV_3304N,26.OnEntered,[End],Process 'OnEntered' ended.
14.1869981616759, ,CV_3304T,30.OnEntered,[End],Process 'OnEntered' ended.
14.1869981616759, ,CV_3306H,85.OnEntered,[End],Process 'OnEntered' ended.
14.1869981616759, ,CV_3306T,86.OnEntered,[End],Process 'OnEntered' ended.
14.1869981616759, ,Input@TrainLoadBin,28.OnEnteredToAssociatedObject,[End],Process 'OnEnteredToAssociatedObject' ended.
14.1869981616759, ,TrainLoadBin,24.OnEnteredFlowContainer,[End],Process 'OnEnteredFlowContainer' ended.
14.1869981616759, ,Output@TrainLoadBin,39.OnEnteredFromAssociatedObject,[End],Process 'OnEnteredFromAssociatedObject' ended.
14.1869981616759, ,FlowInput@TrainLoadStation,43.OnEnteredToAssociatedObject,[End],Process 'OnEnteredToAssociatedObject' ended.
14.1874272062794,TrainWagon.464,Output@TrainLoadStation,43.OnExited,[Begin],Process 'OnExited' initiated.
14.1874272062794,TrainWagon.464,Output@TrainLoadStation,43.OnExited,[Fire] ExitedEvent,Firing event 'Output@TrainLoadStation.Exited'.
14.1874272062794,TrainWagon.464,Output@TrainLoadStation,43.OnExited,[End],Process 'OnExited' ended.
14.3536648283426,TrainWagon.464,TimePath1,43.OnReachedEnd,[Begin],Process 'OnReachedEnd' initiated.
14.3536648283426,TrainWagon.464,TimePath1,43.OnReachedEnd,[Transfer] FromTimePath,Entity 'TrainWagon.464' initiating transfer from '[EndOfLink] TimePath1' into node 'BasicNode1'.
14.3536648283426,TrainWagon.464,BasicNode1,39.OnEntered,[Begin],Process 'OnEntered' initiated.
14.3536648283426,TrainWagon.464,BasicNode1,39.OnEntered,[Fire] EnteredEvent,Firing event 'BasicNode1.Entered'.
14.3536648283426,TrainWagon.464,BasicNode1,39.OnEntered,[Execute] Entered_AddOnProcess,Executing process 'BasicNode1_Entered'.
14.3536648283426,TrainWagon.464,Model,24.BasicNode1_Entered,[Begin],Process 'BasicNode1_Entered' initiated.
14.3536648283426,TrainWagon.464,Model,24.BasicNode1_Entered,[Release] SigBlock3,Releasing resource(s) owned by object 'TrainWagon.464'.
14.3536648283426,--,--,--,--,Object 'TrainWagon.464' released '1' capacity unit(s) of resource 'SigBlock2'.
14.3536648283426,TrainWagon.464,SigBlock2,28.OnCapacityReleased,[Begin],Process 'OnCapacityReleased' initiated.
14.3536648283426,TrainWagon.464,SigBlock2,28.OnCapacityReleased,[Assign] ResourceState,Assigning state variable 'ResourceState' the value '0' .
14.3536648283426,TrainWagon.464,SigBlock2,28.OnCapacityReleased,[Fire] ReleasedEvent,Firing event 'SigBlock2.Released'.
14.3536648283426,TrainWagon.464,SigBlock2,28.OnCapacityReleased,[End],Process 'OnCapacityReleased' ended.
14.3536648283426,TrainWagon.464,Model,24.BasicNode1_Entered,[End],Process 'BasicNode1_Entered' ended.
14.3536648283426,TrainWagon.464,BasicNode1,39.OnEntered,[Transfer] ToOutboundLink,Entity 'TrainWagon.464' initiating transfer from '[Node] BasicNode1' into node 'Input@TrainSink'.
14.3536648283426,TrainWagon.464,Input@TrainSink,24.OnEnteredToAssociatedObject,[Begin],Process 'OnEnteredToAssociatedObject' initiated.
14.3536648283426,TrainWagon.464,Input@TrainSink,24.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@TrainSink.Entered'.
14.3536648283426,TrainWagon.464,Input@TrainSink,24.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'TrainWagon.464' initiating transfer from '[Node] Input@TrainSink' into object 'TrainSink'.
14.3536648283426,TrainWagon.464,Input@TrainSink,24.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'TrainWagon.464' initiating transfer from '[Node] Input@TrainSink' into station location 'TrainSink.InputBuffer'.
14.3536648283426,TrainWagon.464,TrainSink,28.OnEnteredInputBuffer,[Begin],Process 'OnEnteredInputBuffer' initiated.
14.3536648283426,TrainWagon.464,TrainSink,28.OnEnteredInputBuffer,[Delay] TransferInTime,Delaying token for '0' Hours until time '14.3536648283426' Hours.
14.3536648283426,TrainWagon.464,TrainSink,28.OnEnteredInputBuffer,[EndTransfer] IntoInputBuffer,Entity 'TrainWagon.464' ending transfer into station 'TrainSink.InputBuffer'.
14.3536648283426,TrainWagon.464,BasicNode1,86.OnExited,[Begin],Process 'OnExited' initiated.
14.3536648283426,TrainWagon.464,BasicNode1,86.OnExited,[Fire] ExitedEvent,Firing event 'BasicNode1.Exited'.
14.3536648283426,TrainWagon.464,BasicNode1,86.OnExited,[End],Process 'OnExited' ended.
14.3536648283426,TrainWagon.464,Input@TrainSink,86.OnExited,[Begin],Process 'OnExited' initiated.
14.3536648283426,TrainWagon.464,Input@TrainSink,86.OnExited,[Fire] ExitedEvent,Firing event 'Input@TrainSink.Exited'.
14.3536648283426,TrainWagon.464,Input@TrainSink,86.OnExited,[End],Process 'OnExited' ended.
14.3536648283426,TrainWagon.464,TrainSink,28.OnEnteredInputBuffer,[Execute] DestroyingEntity_AddOnProcess,Executing process 'TrainSink_DestroyingEntity'.
14.3536648283426,TrainWagon.464,Model,86.TrainSink_DestroyingEntity,[Begin],Process 'TrainSink_DestroyingEntity' initiated.
14.3536648283426,TrainWagon.464,Model,86.TrainSink_DestroyingEntity,[Decide] WasLoaded,Token branching on condition 'MyContainerEntity.FlowContainer.Contents.Weight>0'.
14.3536648283426,TrainWagon.464,Model,86.TrainSink_DestroyingEntity,[Decide] WasLoaded,Token sent to 'True' exit.
14.3536648283426,TrainWagon.464,Model,86.TrainSink_DestroyingEntity,[Tally] TimeInSys,Recorded '1' observation(s) of value '3.5214125' for tally statistic 'Tally_TrainTimeInSystem'.
14.3536648283426,TrainWagon.464,Model,86.TrainSink_DestroyingEntity,[End],Process 'TrainSink_DestroyingEntity' ended.
14.3536648283426,TrainWagon.464,TrainSink,28.OnEnteredInputBuffer,[Tally] EntityTimeInSystem,Recorded '1' observation(s) of value '3.5214125' Hours for tally statistic 'TrainSink.TimeInSystem'.
14.3536648283426,TrainWagon.464,TrainSink,28.OnEnteredInputBuffer,[Destroy] Entity,Destroying object 'TrainWagon.464'.
14.3536648283426,TrainWagon.464,TrainWagon.464,86.OnDestroying,[Begin],Process 'OnDestroying' initiated.
14.3536648283426,TrainWagon.464,TrainWagon.464,86.OnDestroying,[Assign] ToDisableContainerLevelMonitoring,Assigning state variable 'TrainWagon.464.OnFlowContainerEmpty.Enabled' the value '0' .
14.3536648283426,TrainWagon.464,TrainWagon.464,86.OnDestroying,[End],Process 'OnDestroying' ended.
14.3536648283426,--,--,--,--,Object 'LAC.473' destroyed.
14.3536648283426,--,--,--,--,Object 'TrainWagon.464' destroyed.
14.3536648283426, ,TrainSink,28.OnEnteredInputBuffer,[End],Process 'OnEnteredInputBuffer' ended.
14.3536648283426, ,TimePath1,43.OnReachedEnd,[End],Process 'OnReachedEnd' ended.
14.3536648283426, ,BasicNode1,39.OnEntered,[End],Process 'OnEntered' ended.
14.3536648283426, ,Input@TrainSink,24.OnEnteredToAssociatedObject,[End],Process 'OnEnteredToAssociatedObject' ended.
15,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '22416.2655555556' Metric Tons for tally statistic 'Tally_Stockpile1Contents'.
15,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '22599.0277775114' Metric Tons for tally statistic 'Tally_Stockpile2Contents'.
15,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '0' Metric Tons for tally statistic 'Tally_HAC_ROMContents'.
15,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '23938.978723656' Metric Tons for tally statistic 'Tally_LAC_ROMContents'.
15,Model,Model,1.TallyStockpileContents,[Delay] 1Hour,Delaying token for '1' Hours until time '16' Hours.
15,UC_Stockpile,Model,6.HourlyTally_ProcessName,[Decide] LargerthanMax?,Token branching on condition 'UC_Stockpile.FlowContainer.Contents.Weight > UCStockpile_Max'.
15,UC_Stockpile,Model,6.HourlyTally_ProcessName,[Decide] LargerthanMax?,Token sent to 'False' exit.
15,UC_Stockpile,Model,6.HourlyTally_ProcessName,[Delay] Delay1Hour,Delaying token for '1' Hours until time '16' Hours.
15.2976129434427,--,--,--,--,Firing event 'LAC_Feeder.WeightLevelFallingBelowMidMark.Event'.
15.2976129434427,LAC_Feeder,LAC_Feeder,24.OnFlowContainerLevelFallingBelowMidMark,[Begin],Process 'OnFlowContainerLevelFallingBelowMidMark' initiated.
15.2976129434427,LAC_Feeder,LAC_Feeder,24.OnFlowContainerLevelFallingBelowMidMark,[Assign] OnTankLevelFallingBelowMidMarkAssignments,Assigning state variable 'LCV_9001H.FlowRegulator.Enabled' the value '1' .
15.2976129434427,LAC.494,LCV_9001H,63.OnEntered,[Transfer] ToOutboundLink,Entity 'LAC.515' initiating transfer from '[FreeSpace] Model' into node 'FlowNode4_1'.
15.2976129434427,LAC.515,FlowNode4_1,39.OnEntered,[Begin],Process 'OnEntered' initiated.
15.2976129434427,LAC.515,FlowNode4_1,39.OnEntered,[Transfer] ToOutboundLink,Adding request to transfer flow from entity 'LAC.515' to location type 'OutboundLink' using flow regulator 'FlowNode4_1.FlowRegulator'.
15.2976129434427,LAC_Feeder,LAC_Feeder,24.OnFlowContainerLevelFallingBelowMidMark,[Assign] OnTankLevelFallingBelowMidMarkAssignments,Assigning state variable 'LCV_9003H.FlowRegulator.Enabled' the value '1' .
15.2976129434427,LAC.389,LCV_9003H,76.OnEntered,[Transfer] ToOutboundLink,Entity 'LAC.516' initiating transfer from '[FreeSpace] Model' into node 'FlowNode4_1'.
15.2976129434427,LAC.516,FlowNode4_1,43.OnEntered,[Begin],Process 'OnEntered' initiated.
15.2976129434427,LAC.516,FlowNode4_1,43.OnEntered,[Transfer] ToOutboundLink,Adding request to transfer flow from entity 'LAC.516' to location type 'OutboundLink' using flow regulator 'FlowNode4_1.FlowRegulator'.
15.2976129434427,LAC_Feeder,LAC_Feeder,24.OnFlowContainerLevelFallingBelowMidMark,[Assign] OnTankLevelFallingBelowMidMarkAssignments,Assigning state variable 'LCV_9002H.FlowRegulator.Enabled' the value '0' .
15.2976129434427,LAC_Feeder,LAC_Feeder,24.OnFlowContainerLevelFallingBelowMidMark,[End],Process 'OnFlowContainerLevelFallingBelowMidMark' ended.
15.2976129434427,--,--,--,--,Firing event 'LAC_Feeder.WeightLevelRisingAboveMidMark.Event'.
15.2976129434427,--,--,--,--,Object 'LAC.514' destroyed.
15.2976129434427, ,Input@LAC_ROMPAD,94.OnEnteredToAssociatedObject,[End],Process 'OnEnteredToAssociatedObject' ended.
15.3507829385511,LAC_Feeder,LAC_Feeder,94.OnFlowContainerFull,[Begin],Process 'OnFlowContainerFull' initiated.
15.3507829385511,LAC_Feeder,LAC_Feeder,94.OnFlowContainerFull,[Fire] TankFullEvent,Firing event 'LAC_Feeder.TankFull'.
15.3507829385511,LAC_Feeder,LAC_Feeder,94.OnFlowContainerFull,[Assign] OnTankFullAssignments,Assigning state variable 'LCV_9001H.FlowRegulator.Enabled' the value '0' .
15.3507829385511,LAC_Feeder,LAC_Feeder,94.OnFlowContainerFull,[Assign] OnTankFullAssignments,Assigning state variable 'LCV_9003H.FlowRegulator.Enabled' the value '0' .
15.3507829385511,LAC_Feeder,LAC_Feeder,94.OnFlowContainerFull,[Assign] OnTankFullAssignments,Assigning state variable 'LCV_9002H.FlowRegulator.Enabled' the value '1' .
15.3507829385511,LAC.495,LCV_9002H,66.OnEntered,[Transfer] ToOutboundLink,Entity 'LAC.517' initiating transfer from '[FreeSpace] Model' into node 'Input@LAC_ROMPAD'.
15.3507829385511,LAC.517,Input@LAC_ROMPAD,24.OnEnteredToAssociatedObject,[Begin],Process 'OnEnteredToAssociatedObject' initiated.
15.3507829385511,LAC.517,Input@LAC_ROMPAD,24.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'LAC.517' initiating transfer from '[Node] Input@LAC_ROMPAD' into object 'LAC_ROMPAD'.
15.3507829385511,LAC.517,Input@LAC_ROMPAD,24.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Adding request to transfer flow from entity 'LAC.517' to location type 'Container' using flow regulator 'Input@LAC_ROMPAD.FlowRegulator'.
15.3507829385511,LAC_Feeder,LAC_Feeder,94.OnFlowContainerFull,[End],Process 'OnFlowContainerFull' ended.
15.3507829385511,--,--,--,--,Object 'LAC.515' destroyed.
15.3507829385511, ,FlowNode4_1,39.OnEntered,[End],Process 'OnEntered' ended.
15.3507829385511,--,--,--,--,Object 'LAC.516' destroyed.
15.3507829385511, ,FlowNode4_1,43.OnEntered,[End],Process 'OnEntered' ended.
16,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '24916.2655555556' Metric Tons for tally statistic 'Tally_Stockpile1Contents'.
16,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '26099.0277774416' Metric Tons for tally statistic 'Tally_Stockpile2Contents'.
16,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '0' Metric Tons for tally statistic 'Tally_HAC_ROMContents'.
16,Model,Model,1.TallyStockpileContents,[Tally] Contents,Recorded '1' observation(s) of value '26196.355586201' Metric Tons for tally statistic 'Tally_LAC_ROMContents'.
16,Model,Model,1.TallyStockpileContents,[Delay] 1Hour,Delaying token for '1' Hours until time '17' Hours.
16,UC_Stockpile,Model,6.HourlyTally_ProcessName,[Decide] LargerthanMax?,Token branching on condition 'UC_Stockpile.FlowContainer.Contents.Weight > UCStockpile_Max'.
16,UC_Stockpile,Model,6.HourlyTally_ProcessName,[Decide] LargerthanMax?,Token sent to 'False' exit.
16,UC_Stockpile,Model,6.HourlyTally_ProcessName,[Delay] Delay1Hour,Delaying token for '1' Hours until time '17' Hours.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Begin],Process 'OnCapacityChanged' initiated.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Assign] ProcessingCapacity,Assigning state variable 'LW1GenServer.Processing.CurrentCapacity' the value '0' .
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Decide] IfOnShift,Token branching on condition '(Capacity.Previous==0)&&(Capacity>0)'.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Decide] IfOnShift,Token sent to 'False' exit.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Decide] IfOffShift,Token branching on condition '(Capacity.Previous>0)&&(Capacity<=0)'.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Decide] IfOffShift,Token sent to 'True' exit.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Suspend] Processing,Suspending process 'LW1GenServer.OnEnteredProcessing'.
16.0002777777778,--,--,--,--,The number of suspensions applied to process 'LW1GenServer.OnEnteredProcessing' is now '1'.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[Execute] OffShift_AddOnProcess,Executing process 'LW1GenServer_OffShift'.
16.0002777777778,LW1GenServer,Model,39.LW1GenServer_OffShift,[Begin],Process 'LW1GenServer_OffShift' initiated.
16.0002777777778,LW1GenServer,Model,39.LW1GenServer_OffShift,[Assign] FlowOff,Assigning state variable 'Output@LW1_Input.FlowRegulator.Enabled' the value '0' .
16.0002777777778,LW1GenServer,Model,39.LW1GenServer_OffShift,[End],Process 'LW1GenServer_OffShift' ended.
16.0002777777778,LW1GenServer,LW1GenServer,43.OnCapacityChanged,[End],Process 'OnCapacityChanged' ended.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Begin],Process 'OnCapacityChanged' initiated.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Assign] ProcessingCapacity,Assigning state variable 'LW2GenServer.Processing.CurrentCapacity' the value '0' .
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Decide] IfOnShift,Token branching on condition '(Capacity.Previous==0)&&(Capacity>0)'.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Decide] IfOnShift,Token sent to 'False' exit.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Decide] IfOffShift,Token branching on condition '(Capacity.Previous>0)&&(Capacity<=0)'.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Decide] IfOffShift,Token sent to 'True' exit.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Suspend] Processing,Suspending process 'LW2GenServer.OnEnteredProcessing'.
16.0002777777778,--,--,--,--,The number of suspensions applied to process 'LW2GenServer.OnEnteredProcessing' is now '1'.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[Execute] OffShift_AddOnProcess,Executing process 'LW2GenServer_OffShift'.
16.0002777777778,LW2GenServer,Model,39.LW2GenServer_OffShift,[Begin],Process 'LW2GenServer_OffShift' initiated.
16.0002777777778,LW2GenServer,Model,39.LW2GenServer_OffShift,[Assign] FlowOff,Assigning state variable 'Output@LW2_Input.FlowRegulator.Enabled' the value '0' .
16.0002777777778,LW2GenServer,Model,39.LW2GenServer_OffShift,[End],Process 'LW2GenServer_OffShift' ended.
16.0002777777778,LW2GenServer,LW2GenServer,43.OnCapacityChanged,[End],Process 'OnCapacityChanged' ended.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Begin],Process 'OnCapacityChanged' initiated.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Assign] ProcessingCapacity,Assigning state variable 'LWDevGenServer.Processing.CurrentCapacity' the value '0' .
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Decide] IfOnShift,Token branching on condition '(Capacity.Previous==0)&&(Capacity>0)'.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Decide] IfOnShift,Token sent to 'False' exit.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Decide] IfOffShift,Token branching on condition '(Capacity.Previous>0)&&(Capacity<=0)'.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Decide] IfOffShift,Token sent to 'True' exit.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Suspend] Processing,Suspending process 'LWDevGenServer.OnEnteredProcessing'.
16.0002777777778,--,--,--,--,The number of suspensions applied to process 'LWDevGenServer.OnEnteredProcessing' is now '1'.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[Execute] OffShift_AddOnProcess,Executing process 'LWDevGenServer_OffShift'.
16.0002777777778,LWDevGenServer,Model,39.LWDevGenServer_OffShift,[Begin],Process 'LWDevGenServer_OffShift' initiated.
16.0002777777778,LWDevGenServer,Model,39.LWDevGenServer_OffShift,[Assign] FlowOff,Assigning state variable 'Output@LWDev_Input.FlowRegulator.Enabled' the value '0' .
16.0002777777778,LWDevGenServer,Model,39.LWDevGenServer_OffShift,[End],Process 'LWDevGenServer_OffShift' ended.
16.0002777777778,LWDevGenServer,LWDevGenServer,43.OnCapacityChanged,[End],Process 'OnCapacityChanged' ended.
16.0002777777778,--,--,--,--,Object 'UC.474' destroyed.
16.0002777777778, ,FlowNode12,53.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778,--,--,--,--,Object 'UC.475' destroyed.
16.0002777777778, ,FlowNode12,37.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778,--,--,--,--,Object 'UC.476' destroyed.
16.0002777777778,--,--,--,--,Object 'UC.477' destroyed.
16.0002777777778,--,--,--,--,Object 'UC.479' destroyed.
16.0002777777778,--,--,--,--,Object 'UC.481' destroyed.
16.0002777777778,--,--,--,--,Object 'UC.478' destroyed.
16.0002777777778,--,--,--,--,Object 'UC.480' destroyed.
16.0002777777778,--,--,--,--,Object 'UC.482' destroyed.
16.0002777777778, ,FlowNode12,80.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778, ,DCV_1701H,48.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778, ,DCV_1702H,35.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778, ,DCV_1701T,51.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778, ,Input@UC_Stockpile,56.OnEnteredToAssociatedObject,[End],Process 'OnEnteredToAssociatedObject' ended.
16.0002777777778, ,DCV_1702T,47.OnEntered,[End],Process 'OnEntered' ended.
16.0002777777778, ,Input@UC_Stockpile,74.OnEnteredToAssociatedObject,[End],Process 'OnEnteredToAssociatedObject' ended.
16.0002777777778,UC.483,UC_Stockpile,78.OnEnteredFlowContainer,[End],Process 'OnEnteredFlowContainer' ended.
16.0002777777778,UC.483,Output@UC_Stockpile,68.OnEnteredFromAssociatedObject,[End],Process 'OnEnteredFromAssociatedObject' ended.
16.1523385939774,--,--,--,--,Firing event 'TrainGen.EntityArrivals.Event'.
16.1523385939774,TrainGen,TrainGen,68.OnEntityArrival,[Begin],Process 'OnEntityArrival' initiated.
16.1523385939774,TrainGen,TrainGen,68.OnEntityArrival,[Create] EntitiesPerArrival,Creating '1' object(s) of entity type 'TrainWagon' using creation method 'NewObject'.
16.1523385939774,--,--,--,--,Object 'TrainWagon.518' created.
16.1523385939774,TrainWagon.518,TrainGen,78.OnEntityArrival,[Transfer] ToOutputBuffer,Entity 'TrainWagon.518' initiating transfer from '[FreeSpace] TrainGen' into station location 'TrainGen.OutputBuffer'.
16.1523385939774,TrainGen,TrainGen,68.OnEntityArrival,[End],Process 'OnEntityArrival' ended.
16.1523385939774,TrainWagon.518,TrainGen,74.OnEnteredOutputBuffer,[Begin],Process 'OnEnteredOutputBuffer' initiated.
16.1523385939774,TrainWagon.518,TrainGen,74.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'TrainWagon.518' ending transfer into station 'TrainGen.OutputBuffer'.
16.1523385939774,TrainWagon.518,TrainGen,74.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'TrainWagon.518' initiating transfer from '[Station] TrainGen.OutputBuffer' into node 'Output@TrainGen'.
16.1523385939774,TrainWagon.518,Output@TrainGen,68.OnEnteredFromAssociatedObject,[Begin],Process 'OnEnteredFromAssociatedObject' initiated.
16.1523385939774,TrainWagon.518,Output@TrainGen,68.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@TrainGen.Entered'.
16.1523385939774,TrainWagon.518,Output@TrainGen,68.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'TrainWagon.518' initiating transfer from '[Node] Output@TrainGen' onto link 'Path2'.
16.1523385939774,TrainWagon.518,TrainGen,78.OnEntityArrival,[End],Process 'OnEntityArrival' ended.
